VMName,BusinessUnit,SubUnit,CostCentre,Project,vCPU,vRAM,vDisk,vCPUHours,GBMemHours,GBStorHours,DR,StorageTier,ChargevCPU,ChargevRAM,ChargevDisk,Moref,ResourceSubtotal,Backup,BackupCost,Total,BillingPeriod
SYDNWDOCP01,S&L,PRD,62920000.0,PACE,1.0,2.0,100.0,696.0,1392.0,41064,83.78,,21.3,46.6,5.9,vm-4831,73.8,no,0.0,157.58,Feb-2024
TemplateWindows2012R2Standard Latest Update,GCRP,,,,,,,0.0,0.0,11832,,,0.0,0.0,1.7,,1.7,no,0.0,1.7,Feb-2024
SYDNWSAPP203 (ccf8887e-6e58-4114-b7bb-3a4f9c5c5f95),Oils,PRD,241900.0,,4.0,20.0,1377.0,2784.0,13920.0,757248,1484.268764,,85.2,466.0,380.8,vm-400,932.0,yes,59.25,2491.518764,Feb-2024
SYDNWDBAD80,S&L,QA,62920000.0,,8.0,32.0,6495.0,3144.0,12576.0,4519824,,,96.217241,421.006897,1009.4,vm-33728,1526.624138,no,0.0,1526.624138,Feb-2024
BMx_test3,S&L,DEV,623000.0,<blank>,1.0,1.0,70.0,0.0,0.0,13224,,,0.0,0.0,1.9,vm-33420,1.9,no,0.0,1.9,Feb-2024
SYDNWSQLD06,CORP,DEV,615500.0,,2.0,4.0,565.0,1392.0,2784.0,392544,,,42.6,93.2,56.4,vm-33670,192.2,no,0.0,192.2,Feb-2024
sydnwsrsp01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,14.7,30.7,Feb-2024
sydnwsqls02,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,48.9,64.9,Feb-2024
SYDNWDBAP43,S&L,PRD,62920000.0,S&L SAP BW Upgrade,4.0,24.0,498.0,2784.0,16704.0,344520,325.48,,85.2,559.2,49.5,vm-4837,693.9,yes,43.8,1079.18,Feb-2024
TemplateWindows2012Standard,GCRP,,,,,,,0.0,0.0,27840,,,0.0,0.0,4.0,,4.0,no,0.0,4.0,Feb-2024
SYDNWSGWP02,S&L,PRD,62920000.0,,12.0,30.0,518.0,8352.0,20880.0,357048,425.82,,255.6,699.0,51.3,vm-4854,1005.9,yes,25.65,1473.37,Feb-2024
SYDNWSTSCID01 (d7a65fc1-aa46-4278-8eff-e911bfa726e8),GCRP,,,,4.0,12.0,430.0,1628.0,4884.0,187224,242.26,,49.822414,163.501724,40.35,vm-18396,253.674138,no,0.0,495.934138,Feb-2024
sydnwcomp40,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.05,23.05,Feb-2024
GRCL_SYDNWPRDQRMP01,GCRP,PRD,623000.0,Crop Connect DR,2.0,4.0,80.0,1392.0,2784.0,46632,,,42.6,93.2,10.05,vm-33492,145.85,no,0.0,145.85,Feb-2024
SYDNWSRSP01,S&L,PRD,62920000.0,PACE,2.0,4.0,100.0,1392.0,2784.0,68208,,,42.6,93.2,9.8,vm-33671,145.6,no,0.0,145.6,Feb-2024
sydnwsql01,GRPINFR,PRD,609100.0,,4.0,48.0,1550.0,2784.0,33408.0,1073928,626.52,,85.2,1118.4,154.3,vm-3738,1357.9,yes,9.75,2010.17,Feb-2024
SYDNWDBAD82,S&L,QA,62920000.0,Project SAP ECC,6.0,26.0,4414.0,2502.0,10842.0,3066576,,,76.569828,362.957759,1755.6,vm-33637,2195.127586,no,0.0,2195.127586,Feb-2024
grcl_sydnwprdqrmp01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,12.0,28.0,Feb-2024
sydnwfpd1,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.2,23.2,Feb-2024
SYDNWDBAQ33,S&L,QA,62920000.0,,1.0,2.0,120.0,561.0,1122.0,64032,,,17.168534,37.561207,9.2,vm-33468,63.929741,no,0.0,63.929741,Feb-2024
GRCL_SYDNWSAPD205,GRPINFR,DEV,609100.0,SAP SOLMAN DEV - GSD,8.0,16.0,685.0,3192.0,6384.0,286056,,,97.686207,213.717241,62.55,vm-33638,373.953448,no,0.0,373.953448,Feb-2024
SYDNWCOMQ50,GRPINFR,QA,609100.0,,2.0,4.0,80.0,0.0,0.0,26448,,,0.0,0.0,3.8,vm-33684,3.8,no,0.0,3.8,Feb-2024
SYDNWWEBP122,S&L,PRD,62920000.0,PACE,4.0,8.0,100.0,2784.0,5568.0,41760,155.12,,85.2,186.4,6.0,vm-4848,277.6,no,0.0,432.72,Feb-2024
SYDNWINFP139,S&L,PRD,623000.0,,1.0,1.0,80.0,696.0,696.0,36192,73.62,,21.3,23.3,5.2,vm-3750,49.8,no,0.0,123.42,Feb-2024
sydnwdbad81,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,131.1,147.1,Feb-2024
sydnwdbad24,S&L,DEV,62920000.0,PACE,2.0,4.0,100.0,834.0,1668.0,62640,,,25.523276,55.839655,9.0,vm-33688,90.362931,yes,7.95,114.312931,Feb-2024
sydnwdbad71,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,1262.7,1278.7,Feb-2024
sydnwdbad51,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,120.3,136.3,Feb-2024
GRCL_SYDNWSESQRMD01,S&L,DEV,623000.0,Crop Connect DR,2.0,4.0,80.0,830.0,1660.0,42456,,,25.400862,55.571839,9.15,vm-33253,90.122701,no,0.0,90.122701,Feb-2024
sydnwdbap71 (735c91ed-26c2-436d-b077-2d0552f36463),S&L,PRD,62920000.0,SAP TM Prod,4.0,16.0,515.0,2784.0,11136.0,206712,390.65,,85.2,372.8,103.95,vm-4833,561.95,yes,34.05,1002.65,Feb-2024
ethan-clone-template,GRPINFR,,,,1.0,2.0,60.0,0.0,0.0,6960,,,0.0,0.0,1.0,vm-33609,1.0,no,0.0,1.0,Feb-2024
SYDNWSCSP200 (d404cd28-6517-4230-952c-5cd58e309dc3),Oils,PRD,241900.0,,2.0,8.0,1937.0,1392.0,5568.0,1071144,323.9,,42.6,186.4,153.9,vm-398,382.9,yes,232.05,954.85,Feb-2024
SYDNWINFP153,S&L,PRD,623000.0,,2.0,4.0,80.0,1392.0,2784.0,40368,,,42.6,93.2,5.8,vm-33490,141.6,no,0.0,141.6,Feb-2024
SYDNWWEBP111,S&L,PRD,62920000.0,PACE,2.0,4.0,100.0,1392.0,2784.0,39672,,,42.6,93.2,5.7,vm-33259,141.5,no,0.0,141.5,Feb-2024
grcl_sydnwstpqrmp01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,12.0,28.0,Feb-2024
SYDNWINFP116,GRPINFR,PRD,609100.0,<blank>,2.0,2.0,260.0,1392.0,1392.0,39672,107.24,,42.6,46.6,5.7,vm-4827,94.9,no,0.0,202.14,Feb-2024
grcl_sydnwsapd205,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,102.15,118.15,Feb-2024
SYDNWINFD1,S&L,DEV,623000.0,<blank>,1.0,2.0,50.0,0.0,0.0,15312,,,0.0,0.0,2.2,vm-33646,2.2,no,0.0,2.2,Feb-2024
bmx_test2,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,3.75,19.75,Feb-2024
SYDNWINFD57,S&L,DEV,623000.0,<blank>,2.0,8.0,440.0,1392.0,5568.0,237336,,,42.6,186.4,34.1,vm-33606,263.1,no,0.0,263.1,Feb-2024
SYDNWINFP101,GRPINFR,PRD,609100.0,Server Upgrade,2.0,12.0,120.0,1392.0,8352.0,82824,174.84,,42.6,279.6,11.9,vm-3730,334.1,no,0.0,508.94,Feb-2024
grcl_sydnwstsqrmd01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,12.0,28.0,Feb-2024
sydnwsqld01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,27.0,43.0,Feb-2024
sydnwdprd01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,13.2,29.2,Feb-2024
SYDNWINFP151,S&L,PRD,623000.0,,2.0,4.0,80.0,1392.0,2784.0,34104,,,42.6,93.2,4.9,vm-33612,140.7,no,0.0,140.7,Feb-2024
